,feature_importance
dev_l_quantum_number,0.0002863752448992996
ETL_stack_sequence_BaSnO3-np__1,0.00028583228586461
HTL_stack_sequence_PEDOT:PSS,0.0002847834647863471
avg_Atomic_Number,0.00028442904448655604
Perovskite_deposition_solvent_annealing_solvent_atmosphere_Unknown,0.00028403239505620984
ETL_stack_sequence_F8TBT,0.00028289887043884797
ETL_deposition_procedure_Electrodeposition__2,0.0002823109509711122
max_Mendeleev_Number,0.0002814012775308522
ETL_deposition_procedure_RF_sputtering__2,0.000281043805603898
HTL_stack_sequence_YC-2,0.0002802823552848973
ETL_stack_sequence_BMIM-OTF,0.0002787459728271143
Perovskite_composition_perovskite_ABC3_structure_False,0.0002779313986453967
Perovskite_deposition_thermal_annealing_temperature_Unknown_90.0,0.0002762308099299461
Perovskite_deposition_synthesis_atmosphere_Vacuum_Air,0.0002759736449374549
HTL_stack_sequence_Au-nw,0.0002742340246221599
dev_valence_f,0.00027383157178951096
Substrate_stack_sequence_Ag-nw,0.0002733636002396951
Perovskite_pl_max_790.0,0.0002731898165530804
Perovskite_deposition_quenching_media_Ethyl_ether,0.0002718313794769024
Perovskite_additives_compounds_Cd,0.00026870925439188506
Perovskite_deposition_thermal_annealing_time_15.0_120.0,0.0002678463396156211
Backcontact_stack_sequence_Au,0.00026763323735900575
Perovskite_deposition_thermal_annealing_atmosphere_Unknown,0.0002675744345528801
Perovskite_deposition_synthesis_atmosphere_relative_humidity_75,0.0002673334542898647
ETL_stack_sequence_PCBM-60;_F8TBT,0.0002672575688955073
HTL_stack_sequence_WO3-nw,0.0002654730156799727
Perovskite_deposition_thermal_annealing_temperature_Unknown_100,0.0002652299136215264
Perovskite_deposition_solvents_DMF_none,0.0002649630390658829
Perovskite_additives_concentrations_0.03,0.0002641099420467246
Perovskite_deposition_thermal_annealing_time_1.0;_2.0,0.00026383970878054546
ETL_stack_sequence_ZnO__2,0.0002617954903571561
HTL_stack_sequence_TPA-BPFN-TPA,0.0002615176618090985
Perovskite_pl_max_758.0,0.0002603090689612178
Perovskite_deposition_aggregation_state_of_reactants_Liquid_Gas,0.00025971311089808196
Backcontact_deposition_procedure_Doctor_blading__1,0.00025899571890026065
Perovskite_additives_compounds_Acetate,0.0002581157973856857
ETL_stack_sequence_ZnO-np,0.00025724827880645114
Perovskite_pl_max_772.0,0.00025624469447236377
Backcontact_stack_sequence_Ag-nw__2,0.0002554478182748081
HTL_deposition_solvents_Unknown__1,0.00025538002229237675
avg_gilmor_number_of_valence_electron,0.00025474711573671133
HTL_stack_sequence_OMeTP-SAM,0.00025383917824300646
Perovskite_band_gap_2.43,0.00025374282555930337
Perovskite_deposition_thermal_annealing_time_Unknown_120.0,0.0002533446024936137
avg_valence_f,0.00025268060501710377
ETL_stack_sequence_Sr2CeO4:Eu,0.0002520454815637774
Backcontact_deposition_procedure_Sputtering__2,0.0002512754429248677
HTL_deposition_procedure_Evaporation__3,0.00025087443895251176
HTL_deposition_procedure_Electrodeposition,0.00025070571592477513
Perovskite_additives_concentrations_0.5,0.0002506429707635823
Perovskite_deposition_thermal_annealing_temperature_70__1,0.00024582326443161435
HTL_deposition_procedure_Pulsed_laser_deposition,0.00024482236286284313
Perovskite_pl_max_776.0,0.0002435644286531399
Perovskite_composition_c_ions_coefficients_0.5;_2.5,0.0002425874245308345
HTL_stack_sequence_Al2O3-np,0.0002421860320103441
Perovskite_additives_concentrations_1.5_wt%,0.0002420885596659905
Module_True,0.00024126208588060244
Perovskite_additives_concentrations_5_mol%,0.00024111328891087737
HTL_stack_sequence_TFB,0.0002409548596873592
HTL_stack_sequence_PTB7__1,0.00024090719612122048
dev_Number_of_unfilled_f_valence_electrons,0.00023987524436515752
Perovskite_composition_c_ions_coefficients_0.51;_2.49,0.0002392350806952153
avg_valence_p,0.00023918890094528166
Perovskite_deposition_solvents_acetonitrile;_Methylamine,0.00023825771879309508
Perovskite_deposition_thermal_annealing_time_60.0_30.0,0.0002372687560014994
ETL_stack_sequence_Al2O3-c,0.00023697878114169304
HTL_deposition_procedure_Unknown__1,0.00023660785114101377
Perovskite_deposition_thermal_annealing_time_2.0;_10.0,0.00023529406038619926
avg_outer_shell_electrons,0.0002328459732597851
Backcontact_stack_sequence_FTO__1,0.00023245151926100114
Perovskite_additives_concentrations_0.33,0.00023136253830593903
Perovskite_deposition_thermal_annealing_time_20.0_30.0,0.00023133942549889074
ETL_deposition_procedure_CBD,0.00023122053926331797
Backcontact_deposition_procedure_Unknown__2,0.00022618226778116645
ETL_stack_sequence_Bphen,0.0002261669321370386
HTL_stack_sequence_NiMgLiO,0.00022262995362693944
ETL_stack_sequence_CeOx-np__1,0.0002208654492703234
Backcontact_stack_sequence_Al,0.00022043811986321386
ETL_stack_sequence_bis-C60,0.00022033728292108115
Perovskite_deposition_thermal_annealing_temperature_80.0_60.0,0.00022028132936847966
